検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,905.8,98.5, 3.5,スジ欠点,-,,
2,1,498.2,245.6, 0.7,軽欠点,-,,
3,1,338.3,270.5, 0.8,軽欠点,-,,
4,1,391.6,479.4, 0.7,軽欠点,-,,
5,1,583.5,509.2, 0.7,軽欠点,-,,
6,1,487.6,600.6, 0.7,軽欠点,-,,
7,1,295.6,689.9, 0.7,軽欠点,-,,
8,1,199.6,714.2, 1.1,軽欠点,-,,
9,1,327.6,799.6, 0.8,軽欠点,-,,
10,1,284.9,811.2, 0.7,軽欠点,-,,
11,1,583.5,824.8, 0.7,軽欠点,-,,
12,1,604.9,1047.5, 0.9,軽欠点,-,,
13,1,540.9,1075.3, 3.5,スジ欠点,-,,
14,1,703.2,1080.4, 3.5,スジ欠点,-,,
15,1,295.6,1091.6, 1.1,軽欠点,-,,
16,1,583.5,1092.2, 0.7,軽欠点,-,,
17,1,540.9,1114.7, 0.7,軽欠点,-,,
18,2,391.6,1227.6, 0.8,軽欠点,-,,
19,1,391.6,1269.7, 0.8,軽欠点,-,,
20,1,391.6,1356.8, 0.8,軽欠点,-,,
21,2,380.9,1374.9,10.1,スジ欠点,-,,
22,3,380.9,1375.4, 4.0,スジ欠点,-,,
23,4,391.6,1375.7, 8.4,スジ欠点,-,,
24,1,199.6,1376.5, 6.6,スジ欠点,-,,
25,1,178.3,1383.9, 4.4,スジ欠点,-,,
26,5,338.3,1384.2,30.4,スジ欠点,-,,
27,5,338.3,1384.5,23.8,スジ欠点,-,,
28,5,348.9,1384.9,12.3,スジ欠点,-,,
29,5,348.9,1385.4, 9.7,スジ欠点,-,,
30,5,359.6,1385.9,41.8,スジ欠点,-,,
31,5,370.2,1386.3,18.9,スジ欠点,-,,
32,5,370.2,1386.7,51.5,スジ欠点,-,,
33,5,380.9,1387.2,29.9,スジ欠点,-,,
34,5,391.6,1387.6,54.6,スジ欠点,-,,
35,5,380.9,1388.1,48.4,スジ欠点,-,,
36,5,391.6,1388.6,16.3,スジ欠点,-,,
37,5,391.6,1389.0,18.0,スジ欠点,-,,
38,5,391.6,1389.5,18.5,スジ欠点,-,,
39,5,391.6,1390.0,55.4,スジ欠点,-,,
40,5,391.6,1390.4,33.9,スジ欠点,-,,
41,5,380.9,1390.9,27.3,スジ欠点,-,,
42,5,380.9,1391.4, 7.9,スジ欠点,-,,
43,5,391.6,1391.8, 8.8,スジ欠点,-,,
44,4,359.6,1392.3, 7.9,スジ欠点,-,,
45,5,359.6,1392.7, 5.3,スジ欠点,-,,
46,3,359.6,1393.3, 4.4,スジ欠点,-,,
47,5,348.9,1393.7, 9.2,スジ欠点,-,,
48,5,348.9,1394.2, 6.2,スジ欠点,-,,
49,1,348.9,1394.7, 3.5,スジ欠点,-,,
50,5,348.9,1395.0,29.9,スジ欠点,-,,
51,5,348.9,1395.5,18.9,スジ欠点,-,,
52,5,359.6,1395.9, 7.5,スジ欠点,-,,
53,5,391.6,1396.4,28.6,スジ欠点,-,,
54,5,359.6,1396.9,54.6,スジ欠点,-,,
55,5,380.9,1397.3,29.9,スジ欠点,-,,
56,5,380.9,1397.8,53.2,スジ欠点,-,,
57,5,370.2,1398.2,14.5,スジ欠点,-,,
