検査日,2019/02/12
開始時刻,16:03:58,終了時刻,16:57:25
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],702.8
検査開始位置[mm],316.7,検査終了位置[mm],1019.5
列数,2
周長[mm],398.5,2逓倍,0
検査距離[m],4260.7
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,356
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,372.9,246.9,11.0,重欠点,-,,
2,5,372.9,247.3,14.3,重欠点,-,,
3,5,372.9,247.6, 5.7,重欠点,-,,
4,5,372.9,248.0,14.1,重欠点,-,,
5,5,660.8,248.4, 1.5,軽欠点,-,,
6,5,863.1,248.8, 8.7,重欠点,-,,
7,5,863.1,249.2,12.5,重欠点,-,,
8,5,436.9,249.5, 4.1,重欠点,-,,
9,5,436.9,249.9, 7.1,重欠点,-,,
10,5,436.9,250.3, 5.4,重欠点,-,,
11,5,436.9,250.7,10.9,重欠点,-,,
12,5,351.6,251.1,12.8,重欠点,-,,
13,5,362.3,251.4, 5.5,重欠点,-,,
14,5,362.3,251.8, 5.5,重欠点,-,,
15,5,362.3,252.2, 5.5,重欠点,-,,
16,5,884.5,252.6, 3.0,重欠点,-,,
17,5,436.9,253.0, 6.5,重欠点,-,,
18,5,884.5,253.3, 4.4,重欠点,-,,
19,5,884.5,253.7, 9.1,重欠点,-,,
20,5,884.5,254.1, 9.1,重欠点,-,,
21,5,362.3,254.5, 9.2,重欠点,-,,
22,5,362.3,254.9,14.2,重欠点,-,,
23,5,362.3,255.2, 2.8,重欠点,-,,
24,5,362.3,255.6,12.6,重欠点,-,,
25,5,639.5,256.0, 6.0,重欠点,-,,
26,5,863.1,256.4, 7.0,重欠点,-,,
27,5,863.1,256.8,12.4,重欠点,-,,
28,5,436.9,257.1, 5.8,重欠点,-,,
29,5,436.9,257.5, 7.8,重欠点,-,,
30,5,863.1,257.9,10.2,重欠点,-,,
31,5,639.5,258.3,10.3,重欠点,-,,
32,5,639.5,258.7,12.8,重欠点,-,,
33,5,383.6,259.0,13.7,重欠点,-,,
34,5,362.3,259.4,13.5,重欠点,-,,
35,5,362.3,259.8,13.9,重欠点,-,,
36,5,884.5,260.2, 7.1,重欠点,-,,
37,5,884.5,260.6, 5.0,重欠点,-,,
38,5,426.2,260.9,11.8,重欠点,-,,
39,5,383.6,261.3, 9.6,重欠点,-,,
40,5,362.3,262.1, 6.2,重欠点,-,,
41,5,362.3,262.5,14.1,重欠点,-,,
42,5,362.3,262.8,14.2,重欠点,-,,
43,5,362.3,263.2,10.6,重欠点,-,,
44,5,650.2,263.6, 8.9,重欠点,-,,
45,5,863.1,264.0, 3.7,重欠点,-,,
46,5,841.8,264.4,11.8,重欠点,-,,
47,5,863.1,264.7,12.5,重欠点,-,,
48,5,660.8,265.1, 6.9,重欠点,-,,
49,5,660.8,265.5, 3.0,重欠点,-,,
50,5,372.9,292.9, 3.4,重欠点,-,,
51,5,362.3,293.3, 9.0,重欠点,-,,
52,5,703.2,293.6, 4.4,重欠点,-,,
53,5,362.3,294.0, 4.7,重欠点,-,,
54,5,650.2,294.4,10.0,重欠点,-,,
55,5,660.8,294.8,13.9,重欠点,-,,
56,5,650.2,295.2,13.9,重欠点,-,,
57,5,863.1,295.5, 9.0,重欠点,-,,
58,5,458.2,295.9, 2.9,重欠点,-,,
59,5,863.1,296.3,10.1,重欠点,-,,
60,5,639.5,297.5, 8.0,重欠点,-,,
61,5,639.5,297.8,12.5,重欠点,-,,
62,5,351.6,298.6, 9.1,重欠点,-,,
63,5,394.2,299.0,11.5,重欠点,-,,
64,5,351.6,299.4,11.4,重欠点,-,,
65,5,884.5,299.8, 3.8,重欠点,-,,
66,5,884.5,300.1, 4.2,重欠点,-,,
67,5,884.5,300.5, 4.8,重欠点,-,,
68,5,884.5,300.9,10.0,重欠点,-,,
69,5,884.5,301.3,16.1,重欠点,-,,
70,5,884.5,301.7,16.1,重欠点,-,,
71,5,884.5,302.1,16.1,重欠点,-,,
72,5,362.3,302.4,12.4,重欠点,-,,
73,5,639.5,303.2, 3.5,重欠点,-,,
74,5,639.5,303.6,12.3,重欠点,-,,
75,5,639.5,304.0,13.9,重欠点,-,,
76,5,863.1,304.4, 3.3,重欠点,-,,
77,5,852.5,304.7,10.6,重欠点,-,,
78,5,575.5,305.1, 4.2,重欠点,-,,
79,5,863.1,305.5, 9.6,重欠点,-,,
80,5,863.1,305.9, 9.7,重欠点,-,,
81,5,863.1,306.3, 9.7,重欠点,-,,
82,5,639.5,306.7, 9.0,重欠点,-,,
83,5,703.2,307.0, 4.9,重欠点,-,,
84,5,639.5,307.4,13.6,重欠点,-,,
85,5,362.3,307.8,10.4,重欠点,-,,
86,5,362.3,308.2,14.7,重欠点,-,,
87,5,362.3,308.6, 3.9,重欠点,-,,
88,5,884.5,308.9, 7.4,重欠点,-,,
89,5,884.5,309.3, 3.8,重欠点,-,,
90,5,500.9,309.7, 6.4,重欠点,-,,
91,5,884.5,310.1, 5.8,重欠点,-,,
92,5,884.5,310.5, 7.7,重欠点,-,,
93,5,884.5,310.9,14.7,重欠点,-,,
94,5,362.3,311.2, 8.3,重欠点,-,,
95,5,362.3,311.6,14.1,重欠点,-,,
96,5,362.3,312.0,14.1,重欠点,-,,
97,5,639.5,312.4, 8.7,重欠点,-,,
98,5,639.5,312.8,14.0,重欠点,-,,
99,5,639.5,313.2,14.0,重欠点,-,,
100,5,863.1,313.5, 7.4,重欠点,-,,
101,5,863.1,313.9,12.3,重欠点,-,,
102,5,863.1,314.3, 3.5,重欠点,-,,
103,5,863.1,314.7,10.2,重欠点,-,,
104,5,863.1,315.1,11.7,重欠点,-,,
105,5,863.1,315.5,11.7,重欠点,-,,
106,5,639.5,315.8,10.6,重欠点,-,,
107,5,703.2,316.2, 5.8,重欠点,-,,
108,5,394.2,316.6,13.6,重欠点,-,,
109,5,362.3,317.0,12.3,重欠点,-,,
110,5,362.3,317.4,13.8,重欠点,-,,
111,5,362.3,317.8, 7.2,重欠点,-,,
112,5,884.5,318.1, 3.2,重欠点,-,,
113,5,884.5,318.5, 4.8,重欠点,-,,
114,5,884.5,318.9, 3.2,重欠点,-,,
115,5,884.5,319.3,15.0,重欠点,-,,
116,5,884.5,319.7, 6.1,重欠点,-,,
117,5,884.5,320.0, 6.1,重欠点,-,,
118,5,362.3,320.4,10.9,重欠点,-,,
119,5,362.3,320.8,14.1,重欠点,-,,
120,5,362.3,321.2, 3.2,重欠点,-,,
121,5,671.5,321.6,11.0,重欠点,-,,
122,5,671.5,322.0,14.1,重欠点,-,,
123,5,671.5,322.3,14.1,重欠点,-,,
124,5,863.1,322.7, 9.4,重欠点,-,,
125,5,863.1,323.1,12.5,重欠点,-,,
126,5,863.1,323.5, 5.9,重欠点,-,,
127,5,863.1,323.9,11.5,重欠点,-,,
128,5,863.1,324.3,11.8,重欠点,-,,
129,5,650.2,324.6, 6.6,重欠点,-,,
130,5,639.5,325.0,12.3,重欠点,-,,
131,5,351.6,325.4,13.1,重欠点,-,,
132,5,351.6,325.8, 6.4,重欠点,-,,
133,5,351.6,326.2, 4.4,重欠点,-,,
134,5,351.6,326.6, 4.4,重欠点,-,,
135,5,351.6,326.9, 5.0,重欠点,-,,
136,5,884.5,327.3, 3.5,重欠点,-,,
137,5,426.2,327.7, 6.3,重欠点,-,,
138,5,884.5,328.1, 2.8,重欠点,-,,
139,5,884.5,328.5,12.3,重欠点,-,,
140,5,884.5,328.9,12.2,重欠点,-,,
141,5,362.3,329.2, 3.3,重欠点,-,,
142,5,362.3,329.6,12.3,重欠点,-,,
143,5,362.3,330.0,14.1,重欠点,-,,
144,5,639.5,330.4, 3.1,重欠点,-,,
145,5,639.5,330.8,12.0,重欠点,-,,
146,5,639.5,331.1,14.0,重欠点,-,,
147,5,863.1,331.5, 2.1,重欠点,-,,
148,5,863.1,331.9,10.3,重欠点,-,,
149,5,479.6,332.3, 3.9,重欠点,-,,
150,5,863.1,332.7, 9.5,重欠点,-,,
151,5,863.1,333.1, 9.3,重欠点,-,,
152,5,863.1,333.4, 9.3,重欠点,-,,
153,5,639.5,333.8, 8.0,重欠点,-,,
154,5,639.5,334.2,12.7,重欠点,-,,
155,5,351.6,334.6,13.4,重欠点,-,,
156,5,351.6,335.0, 8.5,重欠点,-,,
157,5,351.6,335.4,14.7,重欠点,-,,
158,5,351.6,335.7,14.7,重欠点,-,,
159,5,884.5,336.1, 1.5,軽欠点,-,,
160,5,884.5,336.5, 3.5,重欠点,-,,
161,5,426.2,336.9, 6.5,重欠点,-,,
162,5,884.5,337.3, 2.7,重欠点,-,,
163,5,884.5,337.7,12.6,重欠点,-,,
164,5,884.5,338.0,12.6,重欠点,-,,
165,5,362.3,338.4, 3.7,重欠点,-,,
166,5,362.3,338.8,12.3,重欠点,-,,
167,5,362.3,339.2,14.1,重欠点,-,,
168,5,639.5,339.6, 2.9,重欠点,-,,
169,5,639.5,340.0,11.9,重欠点,-,,
170,5,639.5,340.3,13.9,重欠点,-,,
171,5,884.5,340.7, 1.2,軽欠点,-,,
172,5,863.1,341.1,10.1,重欠点,-,,
173,5,468.9,341.5, 4.0,重欠点,-,,
174,5,863.1,341.9, 9.5,重欠点,-,,
175,5,863.1,342.2, 9.2,重欠点,-,,
176,5,863.1,342.6, 9.2,重欠点,-,,
177,5,639.5,343.0, 7.6,重欠点,-,,
178,5,639.5,343.4,12.5,重欠点,-,,
179,5,351.6,343.8,13.3,重欠点,-,,
180,5,703.2,344.2, 6.3,重欠点,-,,
181,5,351.6,344.5,14.7,重欠点,-,,
182,5,351.6,344.9,14.8,重欠点,-,,
183,5,351.6,345.3, 7.8,重欠点,-,,
184,5,884.5,345.7, 3.9,重欠点,-,,
185,5,426.2,346.1, 6.4,重欠点,-,,
186,5,884.5,346.5, 3.1,重欠点,-,,
187,5,884.5,346.8,12.7,重欠点,-,,
188,5,884.5,347.2,12.6,重欠点,-,,
189,5,362.3,347.6, 2.4,重欠点,-,,
190,5,362.3,348.0,12.1,重欠点,-,,
191,5,362.3,348.4,14.2,重欠点,-,,
192,5,639.5,348.8, 4.1,重欠点,-,,
193,5,639.5,349.1,11.6,重欠点,-,,
194,5,639.5,349.5,14.1,重欠点,-,,
195,5,639.5,349.9,14.1,重欠点,-,,
196,5,863.1,350.3, 9.8,重欠点,-,,
197,5,458.2,350.7, 4.6,重欠点,-,,
198,5,863.1,351.0, 9.7,重欠点,-,,
199,5,639.5,351.8, 3.2,重欠点,-,,
200,5,650.2,352.2, 5.8,重欠点,-,,
201,5,682.2,353.0, 6.8,重欠点,-,,
202,5,383.6,353.3, 5.3,重欠点,-,,
203,5,362.3,353.7, 5.3,重欠点,-,,
204,5,884.5,354.9, 2.6,重欠点,-,,
205,5,884.5,355.3, 4.1,重欠点,-,,
206,5,362.3,356.8, 2.7,重欠点,-,,
207,5,404.9,357.6,10.2,重欠点,-,,
208,5,703.2,358.0, 3.8,重欠点,-,,
209,5,639.5,358.7, 5.5,重欠点,-,,
210,5,682.2,359.5, 7.1,重欠点,-,,
211,5,863.1,360.3, 5.2,重欠点,-,,
212,5,468.9,361.1, 3.5,重欠点,-,,
213,5,863.1,361.4, 7.2,重欠点,-,,
214,5,436.9,361.8, 6.7,重欠点,-,,
215,5,458.2,362.2, 6.9,重欠点,-,,
216,5,436.9,363.0, 6.2,重欠点,-,,
217,5,639.5,363.4, 9.2,重欠点,-,,
218,5,639.5,363.8,12.1,重欠点,-,,
219,5,362.3,364.9, 8.7,重欠点,-,,
220,5,362.3,365.3,13.4,重欠点,-,,
221,5,362.3,365.7,14.8,重欠点,-,,
222,5,362.3,366.1,14.9,重欠点,-,,
223,5,532.9,366.5, 7.5,重欠点,-,,
