検査日,2019/03/19
開始時刻,8:09:42,終了時刻,8:31:52
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1286.1
検査開始位置[mm],33.0,検査終了位置[mm],1319.1
列数,3
周長[mm],428.4,2逓倍,1
検査距離[m],3989.8
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,35
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,579.5,2632.8, 1.9,軽欠点,-,,
2,1,472.9,3944.8, 1.6,軽欠点,-,,
3,5,526.2,3944.9, 4.2,重欠点,-,,
4,5,89.0,3945.8, 5.9,重欠点,-,,
5,5,724.5,3946.6, 5.4,重欠点,-,,
6,5,948.4,3947.5, 5.7,重欠点,-,,
7,5,959.1,3948.4, 6.8,重欠点,-,,
8,5,959.1,3949.2, 5.5,重欠点,-,,
9,5,959.1,3950.1, 5.5,重欠点,-,,
10,5,852.5,3950.9, 4.4,重欠点,-,,
11,5,590.2,3951.8, 5.9,重欠点,-,,
12,5,89.0,3952.6, 7.2,重欠点,-,,
13,5,526.2,3953.5, 7.9,重欠点,-,,
14,5,948.4,3954.4, 5.0,重欠点,-,,
15,4,948.4,3955.7, 2.8,重欠点,-,,
16,4,948.4,3956.1,11.9,スジ欠点,-,,
17,5,948.4,3956.9, 2.1,重欠点,-,,
18,5,948.4,3957.8, 2.6,重欠点,-,,
19,1,959.1,3959.0, 3.4,重欠点,-,,
20,4,948.4,3959.8, 3.4,重欠点,-,,
21,2,948.4,3960.9, 2.8,重欠点,-,,
22,5,948.4,3961.2, 1.8,中欠点,-,,
23,2,948.4,3963.4, 4.1,重欠点,-,,
24,1,948.4,3963.8, 2.6,重欠点,-,,
25,3,948.4,3964.7, 3.1,重欠点,-,,
26,5,724.5,3965.5, 1.2,軽欠点,-,,
27,4,895.1,3966.6, 2.6,重欠点,-,,
28,2,959.1,3967.6, 1.7,中欠点,-,,
29,1,948.4,3968.8, 3.4,重欠点,-,,
30,1,1215.0,3969.7, 1.4,軽欠点,-,,
31,1,948.4,3969.8, 2.4,重欠点,-,,
32,2,969.8,3971.4, 2.3,中欠点,-,,
33,3,1215.0,3971.8, 1.9,重欠点,-,,
34,5,863.1,3972.4, 1.7,軽欠点,-,,
35,1,895.1,3974.0, 1.4,軽欠点,-,,
見当誤差件数,0
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2019/03/19,8:09:42,    0.0,検査開始,
