subjectId,expId,showOnNth,path1,path2,path3,"表示画像フラグ(基準画像：0, 欠点画像:1)","基準画像出力(表示：１, 非表示:0)","着色画像出力（表示：１, 非表示:0）",SA追加1/削除-1/変更2,欠点数合計,欠点の説明,表裏,サイズ,色など,欠点相違,処置対象,無くても良いかな,基準画像の良品判定に使う：１
1,1,1,exp021000001,20190319_080941__A,000005,1,1,1,,,キズ,表面,大,赤黒白,,フィルム,,
1,1,2,exp021000001,20190319_080941__A,000006,1,1,1,,,キズ,表面,大,黒白,,フィルム,,
1,1,3,exp021000001,20190319_080941__A,000026,1,1,1,,,位置ずれ,表面,小,黒白,,,,
1,1,4,exp021000001,20190319_080941__A,000008,1,1,1,,,横スジ,表面,中,灰色,,フィルム？,,
1,1,5,exp021000001,20190319_080941__A,000023,1,1,1,,,横スジ,表面,中,黒白,,,,
1,1,6,exp021000001,20190318_075103__A,000047,1,1,1,,,異物被り,,,茶色、灰色,,,,
1,1,7,exp021000001,20190318_075103__A,000035,1,1,1,,,位置ずれ,表面,中,黒白,,,,
1,1,8,exp021000001,20190318_075103__A,000046,1,1,1,,,軽欠点,表面,小,黒白,,,,
1,1,9,exp021000001,20190313_134243__A,000092,1,1,1,,,異物被り,,大,茶色、灰色,,,,
1,1,10,exp021000001,20190313_091657__A,000044,1,1,1,,,かぶり波型,表面,中,薄い灰色,"波型, 継ぎ目？",,,
1,1,11,exp021000001,20190212_160357__A,000339,1,1,1,,,縦スジ,,小,黒白,,,,
1,1,12,exp021000001,20190212_160357__A,000340,1,1,1,,,縦スジ,,小,黒白,,,,
1,1,13,exp021000001,20190212_160357__A,000338,1,1,1,,,軽欠点,,小,黒白,,,,
1,1,14,exp021000001,20181210_081325__A,000001,1,1,1,,,グラデーション色むら,,,黒白,薄い,,,
1,1,15,exp021000001,20181210_081325__A,000003,1,1,1,,,グラデーション色むら,,,黒白,薄い,,,
1,1,16,exp021000001,20181210_081325__A,000004,1,1,1,,,グラデーション色むら,,,黒白,濃い,,,
1,1,17,exp021000001,20181210_081325__A,000005,1,1,1,,,文字にじみ,,小,黒白,,,,
1,1,18,exp021000001,20181210_081325__A,000183,1,1,1,,,グラデーション色むら,,,黒白,濃い,,,
1,1,19,exp021000001,20181210_081325__A,000018,1,1,1,,,縦スジ,,小,黒白,,,,
1,1,20,exp021000001,20181210_081325__A,000210,1,1,1,,,縦スジ,,小,黒白,,,,
1,1,21,exp021000001,20181210_081325__A,000007,1,1,1,,,軽欠点,,小,黒白,,,,
1,1,22,exp021000001,20181210_081325__A,000170,1,1,1,,,軽欠点,,小,黒白,,,,
1,1,23,exp021000001,20181101_075637__A,000009,1,1,1,,,位置ずれ,表面,中,多色,,,,
1,1,24,exp021000001,20181017_181254__A,000001,1,1,1,,,インクヌケ,表面,小,,,,,
1,1,25,exp021000001,20181017_181254__A,000003,1,1,1,,,キズ,表面,小,,,,,
1,1,26,exp021000001,20181012_092022__A,000078,1,1,1,,,よれ,裏面,中,,,フィルム,,
