subjectId,expId,showOnNth,path1,path2,path3,showSMP,showREF,showINJ,totalDefect,defectDescription,insideOutsside,size,colorEtc,欠点相違,処置対象,maybeNotNeeded
1,2,1,exp022000001,20181012_092022__A,000003,0,0,0,,縦スジ,表面,大,薄い,短い,ドクター,
1,2,2,exp022000001,20181012_092022__A,000007,0,0,0,,縦スジ,表面,大,薄い,長い,ドクター,
1,2,3,exp022000001,20181012_092022__A,000008,0,0,0,,縦スジ,表面,大,濃い,長い,ドクター,
1,2,4,exp022000001,20181012_092022__A,000010,0,0,0,,縦スジ,表面,大,薄い,短い,ドクター,
1,2,5,exp022000001,20181012_092022__A,000013,0,0,0,,縦スジ,表面,大,濃い,短い,ドクター,
1,2,6,exp022000001,20181012_092022__A,000014,0,0,0,,縦スジ,表面,大,ごく薄い,長い,ドクター,
1,2,7,exp022000001,20181012_092022__A,000016,0,0,0,,縦スジ,表面,大,ごく薄い,短い,ドクター,
1,2,8,exp022000001,20181012_092022__A,000020,0,0,0,,縦スジ,表面,大,薄い,長い,ドクター,
1,2,9,exp022000001,20181006_134539__A,000017,1,0,0,,,,,,,,
1,2,10,exp022000001,20181006_134539__A,000121,1,0,0,,,,,,,,
1,2,11,exp022000001,20181006_134539__A,000135,1,0,0,,,,,,,,
1,2,12,exp022000001,20181006_134539__A,000078,1,0,0,,,,,,,,
1,2,13,exp022000001,20181006_134539__A,000032,1,0,0,,,,,,,,
1,2,14,exp022000001,20181006_134539__A,000039,1,0,0,,,,,,,,
1,2,15,exp022000001,20181006_134539__A,000106,1,0,0,,,,,,,,
1,2,16,exp022000001,20181006_134539__A,000089,1,0,0,,,,,,,,
1,2,17,exp022000001,20180907_154557__A,000036,1,0,0,,,,,,,,
1,2,18,exp022000001,20180907_154557__A,000036,0,0,0,,,,,,,,
1,2,19,exp022000001,20180907_154557__A,000031,1,0,0,,,,,,,,
1,2,20,exp022000001,20180907_154557__A,000031,0,0,0,,,,,,,,
1,2,21,exp022000001,20180907_154557__A,000037,1,0,0,,,,,,,,
1,2,22,exp022000001,20180907_154557__A,000037,0,0,0,,,,,,,,
1,2,23,exp022000001,20181012_092022__A,000076,1,0,0,,斜めスジ,裏面,大,,,,
1,2,24,exp022000001,20181012_092022__A,000077,1,0,0,,斜めスジ,裏面,大,,,,
2,2,1,exp022000001,20181012_092022__A,000003,0,0,0,,,,,,,,
2,2,2,exp022000001,20181012_092022__A,000007,0,0,0,,,,,,,,
2,2,3,exp022000001,20181012_092022__A,000008,0,0,0,,,,,,,,
2,2,4,exp022000001,20181012_092022__A,000010,0,0,0,,,,,,,,
