検査日,2019/02/14,,,,,,,,,,
開始時刻,16:49:46,終了時刻,16:53:38,,,,,,,,
IDNo.,15,,,,,,,,,,
製品名,Sample_02,,,,,,,,,,
コード,,,,,,,,,,,
検査レベル,,,,,,,,,,,
材質,,,,,,,,,,,
特徴,,,,,,,,,,,
印刷面,,,,,,,,,,,
周長,,,,,,,,,,,
基準方向,,,,,,,,,,,
タイミング,,,,,,,,,,,
作業番号,,,,,,,,,,,
ロットNo.,__1,,,,,,,,,,
検査幅[mm],622,,,,,,,,,,
検査開始位置[mm],15,検査終了位置[mm],637,,,,,,,,
列数,1,,,,,,,,,,
周長[mm],505.6,2逓倍,0,,,,,,,,
検査距離[m],189.1,,,,,,,,,,
照明設定,No.1,ON ,60,No.2,ON ,60,No.3,ON ,30,,
検査レベル　通常領域,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
検査レベル　領域Ｂ,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
検査レベル　領域C,点比較,色差,0,サイズ[mmsq.],0,,,,,,
,面比較,色差,0,サイズ[mmsq.],0,,,,,,
,スジ検出,色差,0,サイズ[mmsq.],0,,,,,,
,[ 無効 ],,,,,,,,,,
印刷面,表刷り,,,,,,,,,,
Ref画像更新モード,ﾌﾚｰﾑ毎更新,,,,,,,,,,
タイミング設定,内部,,,,,,,,,,
欠点検出数,142,,0,,,,,,,,
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],,検出領域,ランク,判定,欠点種別,ラベル,
1,2,700.8,33.2,5.7,1,A (通常),中欠点 (中/ 軽 ),-,,-,
2,1,827.3,33.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
3,3,700.8,33.9,8.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
4,5,700.8,34.4,6.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
5,5,700.8,34.9,6.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
6,3,700.8,35.5,6.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
7,4,885.7,37.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
8,5,914.8,44.6,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
9,5,807.8,45.1,3.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
10,5,414.3,45.7,2.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
11,5,356,46.1,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
12,5,570,46.6,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
13,5,768.9,47.1,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
14,2,798.1,47.8,4.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
15,5,934.3,48.1,2,1,A (通常),中欠点 (中/ 軽 ),-,,-,
16,5,934.3,48.6,2.8,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
17,4,730,51.7,2.9,1,A (通常),中欠点 (中/ 軽 ),-,,-,
18,2,720.3,52.5,2.3,1,A (通常),中欠点 (中/ 軽 ),-,,-,
19,2,875.9,53.7,5.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
20,1,671.7,61.1,4,1,A (通常),中欠点 (中/ 軽 ),-,,-,
21,1,875.9,62.4,4.5,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
22,3,540.8,64,3.1,1,A (通常),中欠点 (中/ 軽 ),-,,-,
23,1,501.9,67,1.5,1,A (通常),軽欠点 (軽 ),-,,-,
24,2,671.7,67.3,1.9,1,A (通常),軽欠点 (軽 ),-,,-,
25,1,492.1,68,3.2,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
26,4,492.1,68.8,3,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
27,2,895.4,69.3,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
28,1,895.4,70.1,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
29,3,433.8,71.3,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
30,1,433.8,71.3,2.6,1,A (通常),中欠点 (中/ 軽 ),-,,-,
31,2,424.1,72.1,5.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
32,1,424.1,72.6,4.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
33,2,414.3,73,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
34,3,424.1,73.6,4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
35,2,885.7,74.3,1.6,1,A (通常),軽欠点 (軽 ),-,,-,
36,2,662,74.4,2.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
37,5,492.1,75.1,2.9,1,A (通常),中欠点 (中/ 軽 ),-,,-,
38,5,375.4,75.6,3.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
39,5,662,75.9,7.9,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
40,2,895.4,76.6,5.4,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
41,5,905.1,77,9.1,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
42,3,895.4,77.6,5.6,1,A (通常),重欠点 (重/ 中/ 軽 ),-,,-,
43,1,365.7,78.2,2,1,A (通常),軽欠点 (軽 ),-,,-,
